seqname,tax_id
A00004407n1,g__Paenibacillus
A00000963,g__Micrococcus
A00000962,g__Methylovorus
A00000961,g__Methylotenera
A00000966,c__Actinobacteria
A00000965n0,g__Mycoplasma
A00000965n1,g__Mycoplasma
A00002947,f__Rhodobacteraceae
A00002945,g__Pseudomonas
A00002943,g__Thermocrinis
A00001549,g__Streptococcus
A00001546,o__Chlamydiales
A00001547,g__Sinorhizobium_Ensifer
A00001544,g__Roseobacter
A00001545,g__Salmonella
A00001542,g__Ramlibacter
A00001543,g__Rickettsia
A00001540,g__Pyrococcus
A00001541,g__Pyrococcus
A00002013,g__Saprospira
A00002015,g__Peptostreptococcus
A00002014,f__Chromatiaceae
A00002018,f__Bacillaceae
A00001765,g__Fusobacterium
A00003946,f__Eubacteriaceae
A00002499,f__Paenibacillaceae
A00003943,f__Erysipelotrichaceae
A00002497,g__Thioalkalimicrobium
A00003948,g__Lachnoclostridium
A00003949,g__Labrenzia
A00002493,f__Rhodobacteraceae
A00002492,g__Congregibacter
A00002709,f__Thermoactinomycetaceae
A00002708,p__Synergistetes
A00002704,g__Peptoniphilus
A00002701,g__Yersinia
A00002703,g__Actinomyces_1
A00002702,g__Rothia
A00002750,f__Neisseriaceae
A00002125,g__Brucella
A00002126,g__Mobiluncus
A00002121,g__Congregibacter
A00002122,g__Octadecabacter
A00002128,o__Clostridiales
A00001614n0,f__Entomoplasmataceae
A00001614n1,f__Entomoplasmataceae
A00003831,g__Xanthomonas
A00003836,g__Aeromonas
A00003540,g__Parascardovia
A00002836,g__Neisseria
A00003542,o__Rhizobiales
A00003610,g__Erysipelothrix
A00003612,g__Anaerostipes
A00003616,g__Desulfovibrio
A00003617,g__Candidatus_Pelagibacter
A00003619,g__Desulfitobacterium
A00002239,g__Lactobacillus
A00002231,f__Methylophilaceae
A00002233,g__Selenomonas
A00002235,g__Deinococcus
A00002236,f__Chromatiaceae
A00004393,g__Thiothrix
A00003728,g__Porphyromonas
A00003729,g__Burkholderia
A00003727,g__Prevotella
A00003912,g__Streptococcus
A00003056,g__Dialister
A00003052,f__Synechococcaceae
A00003053,g__Brucella
A00003050,g__Xanthomonas
A00003051,g__Bryantella
A00003058,f__Pseudonocardiaceae
A00001981,f__Methanosaetaceae
A00003919,g__Methyloversatilis
A00002079,g__Paenibacillus
A00000627,g__Shewanella
A00000620,f__Synechococcaceae
A00000621,f__Micrococcaceae
A00000622,g__Rickettsia
A00000623,g__Salinispora
A00000628,o__Myxococcales
A00000629,g__Thermotoga
A00002722,g__Streptococcus
A00004140,g__Saccharomonospora
A00000231,f__Alteromonadaceae
A00000794,g__Crocosphaera
A00000710,f__Chlorobiaceae
A00000714,p__Elusimicrobia
A00000715,g__Erwinia
A00000716,g__Geobacter
A00000717,g__Geobacter
A00000081,g__Deinococcus
A00000083,g__Desulotalea
A00000084,g__Desulfovibrio
A00000086,g__Ehrlichia
A00000087,g__Ehrlichia
A00000088,g__Ehrlichia
A00000150,g__Methanothermobacter
A00001977,f__Halobacteriaceae
A00001976,f__Halobacteriaceae
A00000408,g__Lactobacillus
A00001972,f__Sulfolobaceae
A00001971,f__Halobacteriaceae
A00001970,f__Sulfolobaceae
A00000156,g__Mycobacterium
A00000405,f__Flavobacteriaceae
A00000154,f__Thermoanaerobacteraceae
A00000407,g__Lactobacillus
A00000152,f__Methylophilaceae
A00000153,f__Methylococcaceae
A00000402,g__Clostridium
A00000151,f__Methanomicrobiaceae
A00001169,g__Ureaplasma
A00000397,g__Campylobacter
A00000390,f__Rhodocyclaceae
A00000391,g__Bacillus
A00000392,g__Bartonella
A00000393,g__Bifidobacterium
A00001371,g__Xenorhabdus
A00001372,g__Acinetobacter
A00001375,g__Alistipes
A00001374,g__Acinetobacter
A00001377,g__Arthrospira
A00001376,g__Arthrobacter
A00000570,g__Brucella
A00000571,g__Parabacteroides
A00000572,c__Alphaproteobacteria
A00000575,g__Rickettsia
A00000576,g__Rickettsia
A00000577,g__Rickettsia
A00000579,g__Roseiflexus
A00004091,o__Bacillales
A00004090,f__Lachnospiraceae
A00004095,g__Glaciecola
A00001115,g__Sphingobium
A00001114,f__Gallionellaceae
A00001117,g__Staphylococcus
A00001116,f__Glycomycetaceae
A00000978,g__Slackia
A00001113,g__Shewanella
A00001112,g__Segniliparus
A00000974,g__Rhizobium
A00000977,g__Saccharomonospora
A00000970,g__Pectobacterium
A00000971,f__Sphingobacteriaceae
A00000972,g__Photorhabdus
A00000973,g__Ralstonia
A00001281,g__Bifidobacterium
A00001280,g__Bartonella
A00002958,g__Pasteurella
A00002950,g__Pediococcus
A00002952,g__Paenibacillus
A00001573,g__Bifidobacterium
A00001577,f__Alcaligenaceae
A00004276,g__Saccharomonospora
A00004273,g__Desulfobacter
A00004271,g__Streptomyces
A00001029,f__Flavobacteriaceae
A00001028,g__Rhodothermus
A00002000,g__Pontibacter
A00001758,g__Bacteroides
A00002006,f__Hyphomonadaceae
A00002004n0,g__Corynebacterium
A00002004n1,g__Corynebacterium
A00001753,g__Porphyromonas
A00001752,f__Helicobacteraceae
A00001023,g__Methanocaldococcus
A00002009,g__Rhodococcus
A00001025,g__Mycoplasma
A00001024,g__Methanocella
A00001755,g__Campylobacter
A00001754,g__Sulfurihydrogenibium
A00001593,g__Francisella
A00001597,g__Helicobacter
A00001596,f__Halobacteriaceae
A00002488,f__Thermaceae
A00002486,f__Chromatiaceae
A00002487,g__Vibrio
A00002484,g__Treponema
A00002482,f__Rhodobacteraceae
A00002483,g__Sulfitobacter
A00002719,g__Streptococcus
A00002717,g__Streptococcus
A00002714,g__Vibrio
A00003352,g__Idiomarina
A00002713,g__Peptoclostridium
A00002710,g__Selenomonas
A00002711,f__Carnobacteriaceae
A00003441,g__Acetobacter
A00003440,g__Bradyrhizobium
A00003998,g__Halomonas
A00003995,g__Klebsiella
A00003992,g__Bifidobacterium
A00003991,g__Anaerophaga
A00003990,f__Opitutaceae
A00002136,g__Actinoplanes
A00002134,g__Sediminibacterium
A00002135,g__Serratia
A00002133,g__Ruminococcuse1
A00001626,g__Propionibacterium
A00001624,g__Pantoea
A00001623,g__Oligotropha
A00002139,g__Ochrobactrum
A00004497,f__Spirolinaceae
A00003849,f__Cyclobacteriaceae
A00003847,f__Synechococcaceae
A00003846,g__Desulfovibrio
A00002821,g__Pseudoalteromonas
A00002822,o__Natranaerobiales
A00004494,g__Pseudanabaena
A00002825,g__Brevibacterium
A00002827,f__Erysipelotrichaceae
A00003531,g__Rhizobium
A00003530,o__Rhizobiales
A00003532,g__Clostridium
A00003196,g__Methyloversatilis
A00003195,g__Vibrio
A00003194,g__Mycobacterium
A00003663,g__Selenomonas
A00000720,g__Kocuria
A00004490,g__Anabaena_Nostoc
A00003668,g__Marinobacter
A00003199,g__Faecalibacterium
A00004242,g__Actinobacillus
A00002228,g__Prevotella
A00002229,g__Staphylococcus
A00002222,g__Atopobium
A00002227,g__Acetobacterium
A00004200,g__Roseomonas
A00004241,g__Prevotella
A00000727,g__Mycobacterium
A00004246,g__Yersinia
A00000726,g__Methylobacterium
A00003280,g__Lactobacillus
A00003287,g__Oribacterium
A00003286,g__Flavobacterium
A00003285,g__Microvirga
A00003284,g__Kangiella
A00003289,g__Candidatus_Pelagibacter
A00003288,f__Flavobacteriaceae
A00001681,f__Opitutaceae
A00003069,g__Lactobacillus
A00003062,f__Flavobacteriaceae
A00003060,g__Desulfobacter
A00003067,g__Photobacterium
A00003064,s__goodfellowii
A00003269,g__Paracoccus
A00003268,g__Bradyrhizobium
A00001682,g__Parabacteroides
